new_id,city,cc,country,region,subregion,lat,lon,North_America,Europe,LATAM,Africa,SE_Asia,Oceania,S_Asia,W_Asia,East_Asia,GDP,GDP_growth,GDP_per_cap_method1,GDP_per_cap_method2,Population,Population_growth_rate,Area_method2,Density_method1,HDD,CDD,TDD,HDI_country,HDI_2,Fuel_price,CO2_cap_QC,Target
IT2038,Roncegno Terme,IT,Italy,Europe,Europe (EU & EFTA countries),46.0516232,11.4103025,0,1,0,0,0,0,0,0,0,96.56,0.014084822,34000.0,67298.86719,2840,1.003954781,14.58808477,194.6794281,9884,0,9884,0.8718088070000001,0.954173982,0.71,True,IT2038
IT2039,Merlara,IT,Italy,Europe,Europe (EU & EFTA countries),45.1670683,11.4418785,0,1,0,0,0,0,0,0,0,90.368,-0.00721023,32000.0,42418.44922,2824,1.003954781,4.822582005,585.5784302000001,3793,1528,5321,0.8718088070000001,0.903752804,1.61,False,IT2039
IT2040,Altino,IT,Italy,Europe,Europe (EU & EFTA countries),42.099337,14.331615,0,1,0,0,0,0,0,0,0,68.0343,-0.00721023,24100.0,38552.9375,2823,1.003954781,11.49879371,245.5040131,3115,1056,4171,0.8718088070000001,0.897857606,1.61,False,IT2040
IT2041,Moriago Della Battaglia,IT,Italy,Europe,Europe (EU & EFTA countries),45.8669999,12.1032818,0,1,0,0,0,0,0,0,0,84.42,-0.007210233000000001,30000.0,22517.73438,2814,1.003954781,3.0028588160000003,937.1069946,3811,1296,5107,0.8718088070000001,0.8547992109999999,1.61,False,IT2041
IT2042,Scurcola Marsicana,IT,Italy,Europe,Europe (EU & EFTA countries),42.063128,13.339194,0,1,0,0,0,0,0,0,0,66.3868,-0.001729114,23600.0,38686.73828,2813,1.003954781,8.359856134,336.48904419999997,3342,1141,4483,0.8718088070000001,0.895872772,1.26,True,IT2042
IT2043,Arzago D’Adda,IT,Italy,Europe,Europe (EU & EFTA countries),45.4815134,9.5616783,0,1,0,0,0,0,0,0,0,78.4269,-0.00721023,27900.0,42418.44922,2811,1.003954781,19.1573123,146.7324829,3856,1148,5004,0.8718088070000001,0.903752804,1.61,True,IT2043
IT2044,Raiano,IT,Italy,Europe,Europe (EU & EFTA countries),42.1025536,13.8143041,0,1,0,0,0,0,0,0,0,66.316,-0.00721023,23600.0,38552.9375,2810,1.003954781,3.33920632,841.517334,3115,1056,4171,0.8718088070000001,0.897857606,1.61,True,IT2044
IT2045,Formignana,IT,Italy,Europe,Europe (EU & EFTA countries),44.84348,11.860018,0,1,0,0,0,0,0,0,0,69.7698,-0.007210231,24900.0,24605.86523,2802,1.003954781,7.372581151,380.0568542,3793,1528,5321,0.8718088070000001,0.872687221,1.61,False,IT2045
IT2046,San Fili,IT,Italy,Europe,Europe (EU & EFTA countries),39.338893,16.14349,0,1,0,0,0,0,0,0,0,47.32,-0.00721023,16900.0,21656.62695,2800,1.003954781,12.61652357,221.93118289999998,6607,98,6705,0.8718088070000001,0.850871265,1.61,False,IT2046
IT2047,Letojanni,IT,Italy,Europe,Europe (EU & EFTA countries),37.8803373,15.3068457,0,1,0,0,0,0,0,0,0,49.28,-0.007210228000000001,17600.0,37567.08984,2800,1.003954781,11.27657111,248.30242919999998,1526,2008,3534,0.8718088070000001,0.898056567,1.61,False,IT2047
